firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,
AARON,3646,2.88,91.607,3.264,2.057,0.055,0.137,
ABBAS,59,0,71.186,3.39,25.424,0,0,
ABBEY,57,0,96.491,3.509,0,0,0,
ABBIE,74,1.351,95.946,2.703,0,0,0,
ABBY,262,1.527,94.656,1.527,2.29,0,0,
ABDUL,221,0.452,44.344,6.787,47.511,0.452,0.452,
ABDULLAH,44,2.273,65.909,9.091,22.727,0,0,
ABE,31,6.452,77.419,12.903,3.226,0,0,
ABEL,327,82.569,12.844,2.141,2.446,0,0,
ABELARDO,76,78.947,9.211,0,11.842,0,0,
ABHIJIT,34,0,17.647,0,82.353,0,0,
ABHISHEK,18,0,0,0,100,0,0,
ABIGAIL,418,12.201,81.579,1.435,4.785,0,0,
ABNER,41,39.024,34.146,12.195,14.634,0,0,
ABRAHAM,413,30.751,47.7,7.748,12.349,1.453,0,
ABRAM,43,9.302,81.395,6.977,2.326,0,0,
ADA,199,30.653,53.266,7.035,8.543,0.503,0,
ADALBERTO,69,94.203,5.797,0,0,0,0,
ADAM,4725,1.989,96.148,0.635,1.016,0.085,0.127,
ADAN,146,91.781,5.479,2.055,0.685,0,0,
ADDIE,49,2.041,67.347,26.531,2.041,2.041,0,
ADEL,77,9.091,71.429,5.195,14.286,0,0,
ADELA,122,63.115,28.689,0,8.197,0,0,
ADELAIDA,44,52.273,13.636,0,34.091,0,0,
ADELAIDE,41,12.195,75.61,12.195,0,0,0,
ADELE,193,0.518,93.782,2.591,2.591,0,0.518,
ADELINA,62,62.903,25.806,1.613,8.065,1.613,0,
ADELINE,66,10.606,65.152,7.576,15.152,0,1.515,
ADINA,55,3.636,89.091,5.455,1.818,0,0,
ADMIR,15,0,100,0,0,0,0,
ADNAN,66,0,66.667,1.515,30.303,1.515,0,
ADOLFO,179,87.151,10.056,0.559,2.235,0,0,
ADOLPH,44,11.364,72.727,15.909,0,0,0,
ADRIA,40,10,90,0,0,0,0,
ADRIAN,865,36.301,49.249,11.098,2.659,0.347,0.347,
ADRIANA,489,62.372,35.992,0.818,0.613,0.204,0,
ADRIANE,58,6.897,75.862,15.517,1.724,0,0,
ADRIANNA,30,43.333,50,3.333,3.333,0,0,
ADRIANNE,95,3.158,89.474,6.316,1.053,0,0,
ADRIENNE,644,2.019,83.385,12.733,1.553,0.155,0.155,
AFSHIN,37,0,83.784,0,13.514,0,2.703,
AGATA,48,2.083,97.917,0,0,0,0,
AGATHA,36,2.778,61.111,16.667,16.667,2.778,0,
AGNES,352,3.125,67.898,10.795,17.614,0.568,0,
AGNIESZKA,104,1.923,96.154,0.962,0.962,0,0,
AGUSTIN,239,89.958,5.858,0.418,3.766,0,0,
AHMAD,163,0.613,67.485,3.681,26.38,1.227,0.613,
AHMED,176,1.136,65.341,8.523,22.727,0,2.273,
AHMET,32,6.25,90.625,0,3.125,0,0,
AI,31,3.226,9.677,0,87.097,0,0,
AIDA,214,45.794,37.85,0.935,15.421,0,0,
AILEEN,186,9.14,65.591,2.151,22.581,0,0.538,
AIMEE,611,2.782,93.453,0.327,3.11,0.164,0.164,
AISHA,72,5.556,25,59.722,9.722,0,0,
AJAY,154,0.649,25.325,0.649,70.779,1.948,0.649,
AJIT,68,1.471,20.588,0,77.941,0,0,
AKBAR,31,0,48.387,0,51.613,0,0,
AKIKO,33,3.03,27.273,3.03,66.667,0,0,
AL,92,5.435,73.913,10.87,8.696,1.087,0,
ALAIN,114,14.035,66.667,10.526,7.895,0,0.877,
ALAINA,55,1.818,94.545,1.818,1.818,0,0,
ALAN,4795,1.502,92.471,1.064,4.797,0.104,0.063,
ALANA,153,5.229,84.967,8.497,1.307,0,0,
ALANE,22,0,100,0,0,0,0,
ALANNA,53,0,96.226,0,1.887,1.887,0,
ALASTAIR,18,0,100,0,0,0,0,
ALBA,113,82.301,16.814,0,0.885,0,0,
